,ID,dict_param,wallet,algo_percentage,perf_algo_vs_hold,nb_Good_trade,Average_Good_trade,Best_trade,nb_Bad_trade,Average_Bad_trade,Worst_trade,worst_draw_back,total_fee
17,439.0,"{'stoch_top': 0.574, 'stoch_bottom': 0.2, 'trix_length': 5, 'trix_signal': 25, 'signal_stoch_rsi': 12}",4329.700532359557,332.9700532359557,-822.9830269151838,429.0,1.7,22.72,1235.0,-0.45,-11.62,-36.0,1236.87
18,440.0,"{'stoch_top': 0.574, 'stoch_bottom': 0.2, 'trix_length': 5, 'trix_signal': 25, 'signal_stoch_rsi': 20}",725.8156133436012,-27.418438665639883,-40.46592002156653,337.0,1.84,24.14,1117.0,-0.56,-16.75,-53.0,316.56
19,441.0,"{'stoch_top': 0.276, 'stoch_bottom': 0.16, 'trix_length': 5, 'trix_signal': 25, 'signal_stoch_rsi': 16}",1660.064038866463,66.0064038866463,-243.32072573486468,227.0,1.17,12.21,499.0,-0.41,-11.15,-31.0,439.44
20,442.0,"{'stoch_top': 0.276, 'stoch_bottom': 0.224, 'trix_length': 5, 'trix_signal': 25, 'signal_stoch_rsi': 16}",1407.283160774721,40.728316077472094,-188.43402267765686,232.0,1.18,13.66,488.0,-0.47,-11.15,-41.0,396.62
21,443.0,"{'stoch_top': 0.276, 'stoch_bottom': 0.2, 'trix_length': 5, 'trix_signal': 25, 'signal_stoch_rsi': 16}",1651.9702089901475,65.19702089901475,-241.5632999344224,230.0,1.19,13.66,492.0,-0.44,-11.15,-34.0,434.18
22,444.0,"{'stoch_top': 0.276, 'stoch_bottom': 0.2, 'trix_length': 6, 'trix_signal': 25, 'signal_stoch_rsi': 16}",1887.7757564448348,88.77757564448348,-292.7641231932548,289.0,1.09,13.66,590.0,-0.41,-11.15,-36.0,565.59
23,445.0,"{'stoch_top': 0.276, 'stoch_bottom': 0.2, 'trix_length': 5, 'trix_signal': 25, 'signal_stoch_rsi': 12}",4322.23187010715,332.223187010715,-821.3613447279193,373.0,1.34,22.8,858.0,-0.39,-11.62,-21.0,1073.29
24,446.0,"{'stoch_top': 0.276, 'stoch_bottom': 0.2, 'trix_length': 5, 'trix_signal': 25, 'signal_stoch_rsi': 19}",1223.3944544200658,22.339445442006582,-148.50598343095817,186.0,1.33,24.14,424.0,-0.51,-11.15,-32.0,288.43
25,447.0,"{'stoch_top': 0.386, 'stoch_bottom': 0.2, 'trix_length': 5, 'trix_signal': 25, 'signal_stoch_rsi': 10}",5430.471489227258,443.04714892272574,-1061.9951274335963,430.0,1.56,23.67,1103.0,-0.43,-11.62,-33.0,1305.06
26,448.0,"{'stoch_top': 0.71, 'stoch_bottom': 0.2, 'trix_length': 5, 'trix_signal': 25, 'signal_stoch_rsi': 10}",7211.373539875577,621.1373539875577,-1448.6851443597618,422.0,2.12,22.72,1310.0,-0.5,-12.0,-33.0,1633.1
